our_code	producer_code	name	producer	quantity	price	ean
0PRT52-30	T52-30	PRZEKAZNIK LADOWANIA FSO ZUK ST.TYP	POLONEZ/FSO	0	27,34	
0PRT52-31	T52-31	PRZEKAZNIK LADOWANIA FSO ZUK ST.TYP	POLONEZ/FSO	0	27,34	
MOPR006F1X	R006F1X	RAMIE WYCIER.TYL PN ST.TYP PROSTE	MOTGUM WYCIERACZKI	2	11,92	5900209000496
0RA0025083	0025083	RAMKA WYLACZNIKA KLAWISZOWEGO FSO PN....	POLONEZ/FSO	23	1,43	5903116340839
MOPR008F1X	R008F1X	RAMIE WYCIER.PRZOD PN CARO MR93	MOTGUM WYCIERACZKI	>30	12,39	5900209000397
MOPR009F1X	R009F1X	RAMIE WYCIER.TYL PN CARO 94 N.TYP.	MOTGUM WYCIERACZKI	11	12,39	5900209000403
0RE035242/1	035242/1	REPERATURKA BLOT.TYL."P"-NADKOLE-PN	POLONEZ/FSO	1	19,58	2030
0RE035243/1	035243/1	REPERATURKA BLOT.TYL."L"-NADKOLE-PN	POLONEZ/FSO	0	19,58	2029
0RE065129	065129	REGULATOR CISNIENIA PALIWA PN WIEL./WTRY	POLONEZ/FSO	0	75,39	
0RE076752	076752	REZYSTOR NAGRZEWNICY PN PLUS /I-III B./	POLONEZ/FSO	0	47,85	
0RE15RAA MM	15RAA MM	REGULATOR NAP.ALT.Z SZCZ.PN/CQN/UNO OPOL	POLONEZ/FSO	0	35,92	590676459012
0RE9939826	9939826	REGULATOR NAP.ALT.Z SZCZ.PN/CNQ  IMPORT!	POLONEZ/FSO	3	16,76	2000000017822
0RERA21DEJ	RA21DEJ	REGULATOR NAPIECIA 9D JEZPOL RNA2 ......	POLONEZ/FSO	14	35,70	5903116330045
0RERA2B	RA2B	REGULATOR NAPIECIA 6D AUTO POWER ...	POLONEZ/FSO	12	20,10	
0RERA2BJ	RA2BJ	REGULATOR NAPIECIA 6D JEZPOL RNA1 ......	POLONEZ/FSO	6	33,19	5903116330038
0RERA2DE	RA2DE	REGULATOR NAPIECIA 9D AUTO POWER .......	POLONEZ/FSO	>30	20,10	
0RO051180	051180	ROLKA ZDERZAKA PN CARO.................	POLONEZ/FSO	0	5,43	
0RO081179	081179	ROLKA NAPIN.PASEK ALTERNATORA PN DIESEL	POLONEZ/FSO	0	57,61	
0RO082379	082379	ROZPIERACZ SZCZEK H-CA PN TRUCK LUCAS"P"	POLONEZ/FSO	0	16,18	
0RO4275957	4275957	ROZETKA KORBKI 126 PN          .........	POLONEZ/FSO	0	1,49	
0RO4397115	4397115	ROZETKA KLAMKI PN              .........	POLONEZ/FSO	0	1,39	
0RU0051423	0051423	RURKA NAGRZEWNICY PN CARO WTRYSK FABRYKA	POLONEZ/FSO	0	12,18	
0RU0053608	0053608	RURA WYDECHOWA PN CARO DLUGA FABRYCZNA .	POLONEZ/FSO	0	22,29	5900431500108
0RU034648/1	034648/1	RURA WYDECHOWA PN TRUCK KROTKA/RZEMIOSLO	POLONEZ/FSO	0	19,49	
0RU041780	041780	RURA WYDECHOWA PN TRUCK DLUGI FABRYCZNA	POLONEZ/FSO	0	23,73	
0RU115256/R	115256/R	RURA WYDECHOWA DLUGA PN RZEMIOSLO	POLONEZ/FSO	0	19,60	
0RU20.20AL	20.20AL	RURA PODWOJNA PN RZEMIOSLO ALUMINIOWANA.	POLONEZ/FSO	0	34,38	852020
PLO20.21AL	20.21AL	RURA PODWOJNA PN CARO PLOCIENNIK.ALU	POLMOSTROW UKLAD WYDECHOWY	4	70,20	852021
0RU20.23/AL	20.23/AL	RURA WYDECHOWA PN CARO DLUG.ALUM.RZEMIOS	POLONEZ/FSO	0	19,60	
0RU20.27AL	20.27AL	RURA LACZ.TYL/2KON/TR.C.STD/KR.ALU PLOC.	POLONEZ/FSO	0	22,40	
0RU20.29AL	20.29AL	RURA LACZ.TYL/2KON/TR.C.LB/SRED.ALU PLOC	POLONEZ/FSO	0	22,40	
0RU20.30AL	20.30AL	RURA WYDECHOWA DLUGA PN ROVER RZEMIOSLO	POLONEZ/FSO	0	22,40	
PLO20.32AL	20.32AL	RURA PODWOJNA PN CARO WTRYSK ALU	POLMOSTROW UKLAD WYDECHOWY	1	56,70	852032
0RU20.33AL	20.33AL	RURA WYD.PRZED.PN ROVER KOLEK-KAT.PLOCIE	POLONEZ/FSO	1	75,62	
0RU4165073/1	4165073/1	RURA WYDECHOWA DLUGA FSO 07.281	POLONEZ/FSO	0	33,61	
0RY020470/1	020470/1	RYNIENKA DRZWI PN TRUCK "P"   .....	POLONEZ/FSO	0	22,34	
0RY020471/1	020471/1	RYNIENKA DRZWI PN TRUCK "L"   .....	POLONEZ/FSO	0	22,34	
0RY7660015	7660015	RYGIEL-ZACZEP ZAMKA DRZWI PN,126,CNQ "L"	POLONEZ/FSO	0	7,82	
0SE029558	029558	SERWO H-CA PN OLAWA	POLONEZ/FSO	0	177,71	
0SE062324	062324	SERWO H-CA PN LUKAS  PSA434	POLONEZ/FSO	0	63,80	
0SIC70514	C70514	SILNIK POMPY PALIWA PN BOSCH/UNO  C70509	POLONEZ/FSO	0	57,42	
MMASLP1100	SLP1100	SONDA LAMBDA PN ABIMEX/LANOS	MAGNETI MARELLI	15	45,90	3531650015283
0SP0024809	0024809	SPREZYNA ZACISKU H-CA PN CIENKA	POLONEZ/FSO	>30	0,99	5907555340641
0SP0057713	0057713	SPRYSKIWACZ PN CARO MOCOWANY NA MASKE ..	POLONEZ/FSO	0	6,19	
0SP015811	015811	SPINKA TAPICERKI PN PAK.100 SZT."7A"  ..	POLONEZ/FSO	>30	0,35	5905907950968
0SP034523/LUCAS	034523/LUCAS	SPREZYNY SZCZEK H-CA TRUCK LUCAS /KPL/	POLONEZ/FSO	8	14,72	5907555340832
0SP051801	051801	SPREZYNA TLUMIKA PN CARO   .........	POLONEZ/FSO	0	1,23	
0SP059227	059227	SPREZYNA GAZU PN CARO WTRYSK   .........	POLONEZ/FSO	>30	0,81	5907555340603
0SP063789/1	063789/1	SPINKA MOC.PODSUFITKI ATU PLUS RZEM.35A	POLONEZ/FSO	0	0,26	
0SP0814838P	0814838P	SPINKA METAL.CIEGNA GAZU "P" FSO,PN ....	POLONEZ/FSO	0	0,38	
0SP100400	100400	SPRZEGLO KPL POLONEZ 1,5 1,6 STATIM...	STATIM	0	118,52	5907659315156
0SP100450	100450	SPRZEGLO POLONEZ 1,4 ROVER STATIM	STATIM	0	117,29	5907659315163
